"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Zanzibar","Burundi","Rwanda","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,4169.2998,0,28,151.10001,112,120,661,76,37,44,38,45,34,270,1012.4,85,252,608,21,11,206,178,27,1170.1,46,228,390.0834,19.91658,466,259,107,56,0,4,46,56,2,11,534,0,50,58,1,1,1,23,67,197,114,136,17,0,0.1,0,0,0.1,31.6,1,0,35,1.2,55,1.4,7,44,9.6000004,3.9000001,0,0.2,58,38.700001,8.8999996,12.1,0,0,0,1,38,281,20,8,1,1,17,9,71,70,10,22,4,8,0,51,85,0,74,17,0,0,60,0,26,1623,319,49,1,37,0,42,7,0,3,0,0,387,123,345,188
"Canada",4535.8999,0,13.3,1.2,2.3,52.599998,16.200001,24.200001,2.5999999,7,2.0999999,0.40000001,7.5,11.3,13.9,248.39999,7.6999998,3.9000001,37.200001,0.1,0.80000001,1.3,5.5,0.89999998,537.20001,5.4000001,37.400002,45.953732,2.3462701,59.400002,33.099998,8.6999998,7.8000002,0,1.2,6.9000001,9.1000004,0.69999999,9.3999996,56.400002,0,1.9,1.7,0.1,0.1,0.1,2.3,2.5,34.099998,24,13.4,0.69999999,0,0,0,0,0,0.2,2.5999999,0,0.1,0,6.5999999,0,0.1,8,0.89999998,0,0,0,2,3.2,5.5999999,6.6999998,0,0,0,0,0,32.099998,0,0.60000002,0.60000002,0,0,0.1,43.700001,1.3,1.3,0.2,0.40000001,0.1,0,6.1999998,51.299999,0,5.3000002,0,5.1999998,0,6.0999999,0,0.40000001,133.10001,54,2.3,0.1,14.9,0,0.69999999,0,0,0,0,0,2.0999999,0.2,56.799999,14.4
"Cuba",37,15.4,0,0,0,0,0,0.69999999,0,0,0,0,0,0,0,0.80000001,0,0,2.8,0,0,0.69999999,0,0.5,5.8000002,0,10.9,0,0,4.3000002,0.30000001,9.1999998,0,0,0,0,0,0,0,1,0,2.8,0,0,0,12.2,0,1,3.7,0.30000001,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3999996,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,8.8000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",20.6,0.89999998,0,0,0,0,0.89999998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.3,1.0465651,0.0534347,1.2,0.40000001,0.1,0,0,0,0,0.1,0,0.40000001,0.89999998,0,0,0,0,0,0,0,0.1,0.1,0.1,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",88.690002,8.6000004,0,0.25999999,0,0.14,0.70999998,0.41,0,0,0,0,0,0.52999997,0,3.0999999,0,0.22,0,0,0,0,0.079999998,0,11.87,0,4.9200001,3.0540681,0.1559322,3.4400001,1.11,1.8099999,0.30000001,0,0.30000001,0.18000001,0.41999999,0.1,0.36000001,5.1100001,0,0,0,0,0,0,0,0.17,0.82999998,1.22,0.89999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.64,0.47999999,0.77999997,0,0,0,0,0,0,0,0,0,0,0.079999998,0,0
"Jamaica",68.300003,24.6,0,0.80000001,0.18000001,0,7.8000002,0.2,0,2.3,0,0.30000001,0,0,0,2.7,0,0,0,0,0,0.1,0.40000001,0,58.5,0,13.2,2.2834151,0.1165848,3.8,1,0,0,0,0,0,0.30000001,0,0.1,2,0,0,0,0,0,0,0,0.2,1.5,1.3,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3000002,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,3.3,4.5999999
"Trinidad and Tobago",59.5,17.9,0,0,0,0.80000001,0,0.2,0,0.2,0,0.1,0,0,31,71.5,0,0,0.69999999,0,0,0,0.5,0,77.099998,1,7,1.141708,0.0582924,2.2,0.30000001,0.1,0.30000001,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0.80000001,1,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.199997,0,0,0,0,0,0,0,0,3.7,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8,4.8000002
"Mexico",850.20001,42.5,0,0,0,0.1,0.2,0,0.2,0.1,0,0.2,0.60000002,6.9000001,0.2,0.60000002,0,3.7,1,0,0,1.5,3,1.4,43.599998,0,13.3,7.516242,0.38375849,33.200001,27.299999,6.8000002,1.3,0,0.1,0.60000002,2,0,1.7,29.4,0,0,0.1,0,0,0,0.1,2.9000001,16,0.89999998,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9000001,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0.30000001,0,0,25.799999,0.30000001,0.1,0,1.5,0,0,0,0,0,0,0,0,2.5999999,10.7,0.2
"Guatemala",79.599998,3.4000001,0,0,0,0,0.69999999,3.5999999,0,2.0999999,11.5,0.2,0.40000001,0.1,0.5,1.8,0,0.1,0.1,0,0,0,0.1,0.1,7.3000002,0,4.4000001,3.234838,0.16516189,3.0999999,2.0999999,0.80000001,0.1,0,0,0,0.40000001,0,0,3.2,0,0,0,0,0,0,0,0.2,0.80000001,0.40000001,2.5999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,9,0,0.40000001,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0
"Honduras",45.5,1.1,0,0,0,0,0.5,1.2,4.5999999,0,7.9000001,0.5,0.40000001,0.1,0.40000001,0.5,0.1,0,0,0,0,0,0.1,0.2,2.8,0,1.5,1.617419,0.082580902,1.1,0.60000002,0.2,0.1,0,0.2,0.69999999,0.1,0.2,0.60000002,1.7,0,0,0,0,0,0,0,0.1,0.60000002,0.1,0.80000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6999998,0.5,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",51.200001,3,0,0,0,0,0,2.2,12.6,10.8,0,2.4000001,2.0999999,2.3,0.2,7.8000002,0,0,0.1,0,0,0,0.1,0,5.8000002,0,11.1,5.042542,0.25745821,2.7,1.8,0.40000001,0,0,0,0,0.1,0,0.5,2.5,0,0,0,0,0,0,0,0.1,0.80000001,0.1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8000002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nicaragua",53.799999,2.5,0,0,0,0,0.1,1.8,2.9000001,0.40000001,2.4000001,0,1.6,3.9000001,0.5,3.7,0.1,0,0,0,0,0,0.1,0,6,0,2.5999999,3.1396959,0.1603042,0.5,0.89999998,0.2,0.40000001,0,0,0,0.1,0,0,2,0,0,0,0,0,0,0,0.1,0.5,0.1,0.60000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0.80000001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",59.099998,3.9000001,0,0,0,0,0.60000002,1.8,0.5,0.30000001,2.3,1,0,1.5,1,2.2,0,0,0.1,0,0,0.1,0.1,0,6.5,0,3.3,2.0931311,0.1068694,2.5,1.8,0.5,0,0,0,0,0.2,0,0.2,2.2,0,0,0,0,0,0,0,0.1,1,0.1,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,8.6999998,0.30000001,0.89999998,0,0,0,0,0,0,0,0,0,0,0.2,0,0
"Panama",82.059998,2.0899999,0,0,0.66000003,0,0,1.76,0.11,0.44,0.22,0.1,0.55000001,0,0.55000001,34.43,0.66000003,0.33000001,0.2,0,0,0.44,1.65,0,5.7199998,0,2.97,2.5117569,0.1282433,1.4299999,0.88,0.55000001,0.11,0,0,0.22,0.11,0,0,1.98,0,0,0.1,0,0,0,0,0.30000001,0.55000001,0.22,0.88,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33000001,0.88,0,0,0,0,0,0,0,0,5.5,0.33000001,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0.88
"Colombia",259.89999,15,0,0,0.1,0,0,3.0999999,0.1,0.1,0,0.1,0.1,13.7,0,1.1,4.4000001,1.9,0.5,0,0,1,8.6999998,1.7,27.5,0,11.9,5.5182528,0.28174669,11.5,10.7,10.8,0.40000001,0,2.5999999,0,0.89999998,0.69999999,1.3,10.4,0,0.69999999,0,0,0,0,0,6.4000001,10,0.40000001,2.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.60000002,0
"Venezuela",517.29999,47.400002,0,0,0.1,0.1,0.40000001,12.3,0,0.40000001,0,0,0.30000001,1,0.89999998,0,0.89999998,2.8,1,0,0,1.2,7.8000002,0.1,57.799999,0.2,23.9,17.886749,0.91324788,24.4,18.200001,6.4000001,3,0,0.40000001,0.69999999,4.6999998,0.40000001,3.3,38.299999,0,0.60000002,0.1,0.1,0,0.2,0,1.1,10.9,3,13.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0.2,0.1,0.1,0,0.2,0,0,0,0,0.2,0,0.30000001,0,0,41.799999,0.40000001,0,0,0,0,0.2,0,0,0,0,0,1.3,2.0999999,0.5,0.1
"Ecuador",54.889999,4.29,0,0,0,0,0,0.99000001,0,0,0,0,0,0.22,2.53,13.09,0,0.99000001,0.11,0,0,0.88,0.22,0.22,8.1400003,0,2.8599999,4.9188571,0.25114319,2.8599999,3.3,0.55000001,0.33000001,0,0,0.22,0.76999998,0.22,0.66000003,3.4100001,0,0,0,0,0,0,0,0.44,3.4100001,0.66000003,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.11,0,0,0,0,0.11,0,0,0,0,6.4899998,0.55000001,0,0,0,0,0,0,0,0,0,0,0.11,0,0.66000003,0
"Peru",207.60001,13.7,0,0.1,0,0.1,0.1,2.3,0,0.2,0,0.5,0,0.30000001,2.3,3.5999999,2.3,0,1,0.1,0.1,4.4000001,49,0.60000002,40.400002,0,17.799999,6.7551031,0.34489679,15.3,15.3,2,0.5,0,0,0,2.2,0,1.4,16.4,0,0.2,0,0,0,0,0,2.3,12.3,4.0999999,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60000002,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0.40000001,0,0,0,0,0,0,0,0,0,35.200001,4.0999999,4.6999998,0,0.89999998,0,0,0,0,0,0,0,0.80000001,0.1,1.2,2
"Brazil",502.14999,27.719999,0,0,0,0,3.4100001,19.690001,0,0,0,0,0,0.88,0.22,107.25,0,16.940001,0,0.11,0.99000001,34.43,96.800003,11.33,58.080002,0,24.09,19.46611,0.99388582,85.139999,21.450001,11.33,3.52,0,9.5699997,11,5.0599999,1.54,15.4,49.5,0,8.25,1.3200001,0,0.76999998,3.1900001,40.700001,12.76,35.09,13.86,21.23,1.54,0,0,0,0,0,0,0,0,0,0,0,2.0899999,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.99000001,0,0.22,11.88,0.66000003,0,0.11,0,0,0.88,0,0,0,0,0.99000001,52.580002,0,24.530001,0,0.99000001,0,0,0,0,67.870003,0.76999998,0,0,0,0,7.2600002,0,0,0,0,0,0,0,1.1,0.11
