"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Tanzania","Somalia","Ethiopia","South Africa","Madagascar","Morocco","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,708.2998,23,1.86,64,209.9,5.5,0.5,3.6,9.5,6.9,45.4,19.2,379.8,4.87,10,41.72,21.8,3.136,37.7,273.2,22,404.8,22.8,341.8,4.6564,0.2436,267.1,73,185,0.8,0,0,31,39,1.5,4,458.3,0,136.1,36,5.5,1,3.42,21,23.4,181.1,30.8,42,1,0.5,2.4,0.6,0,0.4,19.2,1,0.3,16,1.8,47.9,1.9,2.5,20.7,3.2,0.7,1,5,30,8.6,1,25,8,12.9,34.8,30.5,28.2,9.9,33.2,60.1,11.8,97.2,25.3,37.2,19.6,132.9,1,0,60,6,0.4,0,177,9,135.3,957,317,118.7,7.2,20.8,0,30.4,10.3,2.5,63.3,0,0,21.7,40.8,261.35,56.62
"Canada",708.2998,0,26.3,0.04,3.78,13.5,0.6,6.8,1,1.3,1.5,4.82,1.1,193.3,4.63,5.7,3.18,0.7,1.1,5.7,26.5,0.6,311.4,13.1,9,4.2763,0.2237,31.8,7.7,4.7,0.2,0,0.2,37.6,2.4,0.5,11.3,23.9,14.9,0.8,10.1,0.1,0.3,0.84,21.7,3.8,6.8,64.6,10.1,0.7,0,0,0,0,0,1.1,5.2,0,0.4,1.2,2.2,0,0,1,0,0,0,0,0.2,2,0,0,24.1,0,0.7,0.7,0,0.1,24.2,0.5,2.1,1.5,0.2,1,0.2,5.8,48,9,21.2,0,131.6,0,3,0,2.5,137.5,3.6,9.6,1.6,15.5,0,1.5,0.1,0,0.6,0,0,10.3,2.5,45.96,22.8
"Cuba",23,26.3,0,0.002,0,3.3,0,0.3,0,0.4,0,0,0,0.6,0,0.1,0.4,0,9,2.7,0.3,0.8,1.8,0.2,6.7,3.1359,0.1641,4.7,1.2,4.9,0.9,0,0,0,0,0,0,3.7,0,2.7,12.4,9,0,10.85,0,0.1,0.9,2.1,0.8,0.2,9,0,9,0,0,0,0,0,9,9,0,0,0,0,0,0,9,0,0,0,0,0,0,9,3.9,0,9,0,9,0,10.7,0.3,5.3,0,0,0,0,9,0,0,0,0,0,0,0,12.5,16.3,2.1,9,0,0,0,9.1,0,0.4,0,0,0,0,0,0
"Haiti",1.86,0.04,0.002,0,0.11,0.04,0.004,0.001,0.001,0.003,0.001,0,0,0.1,0.01,0,0.01,0,0,0.02,0.009,0,1.22,0.03,0.97,1.834,0.096,1.64,0.82,0.66,0.03,0,0,0.075,0.04,0.023,0.036,3.3,0,0,0,0,9.022,0.005,0,0.049,0.11,0.45,0.31,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0.02,0,9,0,0,0,0,0,9,0,0.02,0,0,0,0,0,0,0,0.007,0,0.001,0,0.01,9,9,9,0,0,0,0,0,0,1.65,0.23,0,0,0,0,0,0.1,0,0,0,0,0,0.01,0.01,0.01
"Dominican Republic",64,3.78,0,0.11,0,0.22,0,0,0,0,0,0.11,0.1,0,0,0.11,0.11,0,0,0.7,0,0,11.82,0.1,1.02,0.3516,0.0184,1.59,0.54,1.65,0.11,0,0.11,0.11,0.25,0,0.66,1.3,9,0,0,0,0,0,0,0.22,1.78,2.18,0.12,0,0,9,9,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,9,9,0,9,0,0,0.6,0,0,9,0,0,0,0,9,0,0,0,0,0,9,0,0,9,0,0,2.3,3.77,0.44,0.11,0,0,0,0,0,9,0,0,0,0,0.11,0,3.08
"Mexico",209.9,13.5,3.3,0.04,0.22,0,2.3,0.9,1.5,1.5,1.2,5.31,0.8,3.6,0.33,0.4,1.56,0,0,1.6,0.4,0.6,35,0.1,3.1,4.2763,0.2237,6.8,15.4,12.3,1.6,0,0.2,0.1,1.5,0.11,1.4,14.9,0,0,0,0,0,3.26,0.3,2.9,13.9,0.3,1.5,0.1,9,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,9,0,0,0,0,0,1.5,9,0,0,0,0,0,0.1,0,0.3,9,0.1,0,0.1,0,9,0,0,0,0,0.1,9,0.2,115.3,2,0.1,0,1.4,9,0.1,9,9,0.1,0,0,0.5,11.1,4.49,0.37
"Guatemala",5.5,0.6,0,0.004,0,2.3,0,0.4,0,0.8,0.4,0.22,0.2,2,0,0,0.1,0,0,0.1,0,0.1,4.7,0,1.2,1.5204,0.0796,2.1,0.5,0,0.2,0,0,0,0.7,0,0,2,9,0,0,0,0,0,0,0.9,4.1,0.9,0.7,0,0,9,0,9,0,0,0,0,9,0,0,9,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.1,0,0,0,9,0,9,0,0,0,2.8,0,0,9,0.1,0,0.1,0,0,0,0,0,0,0.2,0,0
"Honduras",0.5,6.8,0.3,0.001,0,0.9,0.4,0,1.9,0,0.2,0.09,0.2,1,0,0.6,0,0,0,0,0,0.1,1.2,0,0.5,0.6652,0.0348,0.7,0.3,0.2,0,0,0.1,0.4,0.1,0.2,0.8,0.6,0,0,0.1,0,0,0,0,0.6,0.8,0.2,0.4,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,0,0,0,5,0.1,0,0,0.1,0,0,0,0,9,0,0,0,0,0,0
"El Salvador",3.6,1,0,0.001,0,1.5,0,1.9,0,0.7,1.1,0.2,0.1,0.6,0,0,0,0,0,0.1,0,0,4.3,0,8,3.7061,0.1939,1.3,0.3,0.3,0,0,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0.2,0.7,0.1,0.6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.2,0,0,0,0,13.5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"Nicaragua",9.5,1.3,0.4,0.003,0,1.5,0.8,0,0.7,0,0.4,2.2,0.2,0.7,0.5,1.2,0,0,0,0,0,0,0.8,0,0.4,0.095,0.005,0.1,0.1,0.2,0.1,0,0,0,0.1,0,0,0.5,9,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.2,0,0,12.7,0.5,0.1,0,0,0,0,0,0,9,0,0,0,0,0,0
"Costa Rica",6.9,1.5,0,0.001,0,1.2,0.4,0.2,1.1,0.4,0,1.59,0.4,1.4,0,1.7,0,0,0,0,0,0,4.9,0,1.4,1.0453,0.0547,2.7,1.4,0.1,0,0,0,0,0.9,0,0,0.2,0,0,0,0,0,0,0,0.1,0.6,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,9,0,9,0,9,0,0,0,7,0.5,0.1,0,0,0,0,9,9,9,0,0,0,0,0,0
"Panama",45.4,4.82,0,0,0.11,5.31,0.22,0.09,0.2,2.2,1.59,0,11.36,2.3,0.6,4.2,0.45,0.3,0,2.99,0.3,0.1,5.33,0,3.12,2.8318,0.1482,1.32,1.11,0.12,0.33,0,0,0,0,0,0,0.91,9,0.8,0,0,0,0,0,0.3,0.79,0.01,6.54,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0.11,0,0,0,0,7.2,0.1,9,9,0,0,0.33,0,0.3,0.88
"Colombia",19.2,1.1,0,0,0.1,0.8,0.2,0.2,0.1,0.2,0.4,11.36,0,0.2,5.97,3.8,0.98,0,0,0.1,0.3,0.4,8.8,0,6,3.8961,0.2039,14.5,9.7,1.8,0.4,0,0,0,1,0,1,9.2,0,0.1,0,0,0,0,0,1,0.2,1.7,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0,9,0,9,0,9,0,0,0,14.4,0,0,0,0,0,0,0,9,0,0,0,0.6,0,0.38,0
"Venezuela",379.8,193.3,0.6,0.1,0,3.6,2,1,0.6,0.7,1.4,2.3,0.2,0,0.81,1.7,107.24,0,0.6,6.1,59.4,11.8,131.9,1.8,26.5,3.516,0.184,16.6,22.8,12.9,0.6,0,0.1,1.7,3.4,0.4,3.2,36.7,9,0.3,0.1,0,0,0,0,2,22,30.7,12.7,0.6,0,2.6,0.4,9,0,3.6,0,9,1,4.7,3.6,0,0.4,0.4,0.4,0,9,0.8,0.1,0,0,0,1.9,0,0.5,0,0.2,2.4,0.1,0,0,0.4,0,0,0,0.2,0,9,0.2,0,0.6,0,0,0,0,38.4,1.1,0.1,0,0.1,0,0.1,0,0,0,0,0,1.1,3.8,5.19,4.33
"Ecuador",4.87,4.63,0,0.01,0,0.33,0,0,0,0.5,0,0.6,5.97,0.81,0,0.55,0,0,0,1.96,0.01,0.11,5.9,0,2.55,6.4334,0.3366,1.69,3,0.12,0.22,0,0,0.1,3.5,0,0.2,0.8,9,0,0.2,0,0,0,0,0.01,0.79,0.13,0.89,0,9,0,9,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,9.11,9,9,0,0.22,9,0,0,0,0,0,0,0,0,0,0,0,0.01,9,0,0,0,0,0,0,9,0,0.39,0.44,0,0,0.33,9,0,0,0,0,0,0,0,0,0,0
"Peru",10,5.7,0.1,0,0.11,0.4,0,0.6,0,1.2,1.7,4.2,3.8,1.7,0.55,0,3.07,2.7,0.1,20.7,10.6,1.2,19.2,1,6.5,20.336,1.064,4.8,3.9,0.5,0.3,0,0,0.2,0.6,0.22,1.3,0.3,0,0.3,0,0,0,0,0,1.2,4.8,0.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0.1,0.1,0,0.6,0,0,0,0,0,0,0,0,0.3,47.9,3.7,2.6,0,0.4,0,0,0,0,0,0,0,0,0.2,1.13,1.72
"Brazil",41.72,3.18,0.4,0.01,0.11,1.56,0.1,0,0,0,0,0.45,0.98,107.24,0,3.07,0,0.01,0.305,1.22,44.82,15.85,30.97,1.4,16.72,9.4363,0.4937,21.84,8.51,9.25,2.31,0,4.78,0.78,3.65,2.64,1.82,8.46,9,0.95,0.59,0.6,0,0.95,1.72,4.11,6.64,2.86,15.74,0.36,0,0,0,0,0,0,0,9,0.1,0,0.2,0,0.1,0,0,0,9,0,1.76,0,0,0,5.62,0,3.53,0.03,0,0.1,0,1.4,0,0.5,0.9,1.5,0.1,1.22,37.95,0,27.17,0,0.2,9,0.7,0,0,26.15,0.44,0,0.1,0.1,0,2.78,0,9,0.9,0,0,0.4,7.4,1.32,0.33
"Bolivia",21.8,0.7,0,0,0,0,0,0,0,0,0,0.3,0,0,0,2.7,0.01,0,0.5,2.1,2.6,0.2,31.4,0,1.7,0.5702,0.0298,0.4,0.7,0.1,0.1,0,0,0,0.1,0,0.8,2.2,0,1.7,0,0,9,0,0,0.1,1.6,0.2,0.4,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,9,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,9,0,9,0,0,0,0,0,2,0.2,0,0,0,0,0,0,9,0,0,0,0,0,0,0
"Paraguay",3.136,1.1,9,0,0,0,0,0,0,0,0,0,0,0.6,0,0.1,0.305,0.5,0,0.1,1.429,1.34,3.473,0,0.965,0.4941,0.0259,1.554,0.698,0.706,0,0,9,9,0,9,0,0.04,0,0,0.2,0.1,0,9,9,0,0.579,0.1,0,0,9,0,0,0,0,0,0,9,9,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,9,0,5.192,0.2,0,9,0,0,0,0,9,0,0,0,0,0,0,0
"Chile",37.7,5.7,2.7,0.02,0.7,1.6,0.1,0,0.1,0,0,2.99,0.1,6.1,1.96,20.7,1.22,2.1,0.1,0,31,1.2,37.7,0.3,3.3,2.9459,0.1541,1.5,1.3,1.8,0.2,0,0,0.5,0.3,0,0.6,0.2,0,0.4,0.1,0,0,0,0,1.1,9.5,0.3,6.7,0,0,0,9,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,25.6,2.9,0.9,0,4.1,0,0,0,0,9,0,0,0,0,0.46,0.12
"Argentina",273.2,26.5,0.3,0.009,0,0.4,0,0,0,0,0,0.3,0.3,59.4,0.01,10.6,44.82,2.6,1.429,31,0,9.7,70.7,5.4,44.5,16.915,0.885,20.1,11.1,1.2,0.8,0,0,2,3.7,0.85,3.6,33.7,9.5,10,8.4,0.1,0.2,1.85,0.9,9.7,20.6,0.3,1,0,0,0,0,0,0,0,0,0,0.1,0.1,1.1,0,0,0,0,0,0,0,0.6,0,0,0,0.1,0,2.3,0,0,0,0.7,0.7,0.1,0.6,0.4,0.4,0.3,1.3,0.1,0,0,9,4.4,0,0,0,0,32.3,5.1,2.1,0,0.3,0,0.8,0,0,0,0,0,1.2,0,1.6,0.1
"Uruguay",22,0.6,0.8,0,0,0.6,0.1,0.1,0,0,0,0.1,0.4,11.8,0.11,1.2,15.85,0.2,1.34,1.2,9.7,0,21.6,0,3.9,1.1403,0.0597,3.5,0.1,3.3,0.2,0,2.4,1.2,1.1,1.01,3.5,1,0,0.8,0.3,0,0.2,0.28,0,0.3,2,0.4,0,0,0,0,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2,0,0.3,0,0,0,0,0.1,1,0.5,9,0,0,0.1,7.2,9,0,9,2.6,9,0,0,0,2.6,0.2,0.8,9,0.3,9,0,0,0,9,0,0,0.3,0.1,0.1,0.1
"United Kingdom",404.8,311.4,1.8,1.22,11.82,35,4.7,1.2,4.3,0.8,4.9,5.33,8.8,131.9,5.9,19.2,30.97,31.4,3.473,37.7,70.7,21.6,0,55.3,122.6,100.3496,5.2504,107.8,14.3,111.5,29.4,0,8.8,37.9,34.7,6.3,6.7,1.4,0.1,6.1,54.6,17.7,3.9,39.48,58.5,112.1,40.2,43.1,58.5,7,0.4,0.5,0.5,0.2,0.3,1,0,0.1,0.9,36.8,85.8,2.4,20.4,19.7,0.7,0.5,0.8,1.4,16.2,15.9,2.1,3.9,3.1,0.9,22.3,11.7,20.9,27.3,47.5,33.4,35.8,37.1,11.2,19.6,17.8,31.9,17,0.2,412.8,9.1,46.2,0,4.5,0,4.1,22.9,26.9,57.1,5.9,36.9,0,24.7,2,0.7,2.1,0,0,15.3,33.4,221.13,52.93
"Ireland",22.8,13.1,0.2,0.03,0.1,0.1,0,0,0,0,0,0,0,1.8,0,1,1.4,0,0,0.3,5.4,0,55.3,0,13.7,12.8288,0.6712,11.4,2.7,4.1,1,0,1.8,5.6,0.7,0,0.8,5.1,0,0.1,0.4,0.1,0,0,3.9,11.8,8.5,1.6,4.7,0.2,0,0,0,0,0,0,0,0,0,1.3,1.5,0,0,0.9,0,0,0,0,0,1,0,0,1.6,0,3.9,0,0.1,0.1,0,0.8,23,0.2,0,0,0,1,6.1,9,0,0,0.9,0,0,0,0,9.5,11,2.4,0,2.5,9,0.3,0,9,0,0,0,0.1,0.7,12.88,1.68
"Netherlands",341.8,9,6.7,0.97,1.02,3.1,1.2,0.5,8,0.4,1.4,3.12,6,26.5,2.55,6.5,16.72,1.7,0.965,3.3,44.5,3.9,122.6,13.7,0,306.085,16.0148,19,7.6,1.2,10.2,0,1.5,0.7,3.9,3.3,4.9,0.3,0,5.7,25.4,2.7,1,0.83,19.5,27.6,56.1,55.2,85,2.6,0,1.1,0.1,0,0,8.7,1.6,0,2.4,2.8,16.6,0.5,12.8,9.9,1.4,0,0.4,1.7,1.4,2.2,0.2,1.5,16.1,2.1,2.4,24.7,3.2,1.6,12,6.2,7.7,5.7,95.2,36,3.5,18.1,23.6,0,98.2,0.8,10.6,0,0.9,0,2.7,0.2,11.3,5.7,4.7,4.7,0,12.8,0.9,9.2,0.2,0,0,10.7,34.3,34.73,7.18
"Belgium",4.6564,4.2763,3.1359,1.834,0.3516,4.2763,1.5204,0.6652,3.7061,0.095,1.0453,2.8318,3.8961,3.516,6.4334,20.336,9.4363,0.5702,0.4941,2.9459,16.915,1.1403,100.3496,12.8288,306.085,0,0,205.0704,40.8621,9.4078,38.9615,158.4117,2.1856,0.4751,2.4707,5.7017,11.0232,5.2265,0.095,8.5525,20.241,2.8508,1.1403,1.4254,7.6022,13.589,27.3681,23.4719,51.8853,0.9503,0,2.0906,0.5702,0,0,1.8055,0.095,0,9.9779,0.7602,0.2851,0.7602,2.4707,5.4166,0.3801,0,0.6652,1.2354,175.2316,1.2354,0.095,1.1403,18.2454,0.095,8.4575,6.1768,0.3801,0.5702,35.4454,4.0862,24.9924,1.8055,1.5204,5.7017,3.231,3.326,4.8464,0,2.3757,0.6652,7.4122,9,0.7602,0,1.2354,7.9824,8.2674,2.1856,0.6652,4.5613,0,3.1359,0.8553,0.3801,0,0,0,0.5702,1.9005,34.7517,17.6277
"Luxembourg",0.2436,0.2237,0.1641,0.096,0.0184,0.2237,0.0796,0.0348,0.1939,0.005,0.0547,0.1482,0.2039,0.184,0.3366,1.064,0.4937,0.0298,0.0259,0.1541,0.885,0.0597,5.2504,0.6712,16.0148,0,0,10.7296,2.138,0.4922,2.0385,8.2883,0.1144,0.0249,0.1293,0.2983,0.5768,0.2735,0.005,0.4475,1.059,0.1492,0.0597,0.0746,0.3978,0.711,1.4319,1.2281,2.7147,0.0497,0,0.1094,0.0298,0,0,0.0945,0.005,0,0.5221,0.0398,0.0149,0.0398,0.1293,0.2834,0.0199,0,0.0348,0.0646,9.1684,0.0646,0.005,0.0597,0.9546,0.005,0.4425,0.3232,0.0199,0.0298,1.8546,0.2138,1.3076,0.0945,0.0796,0.2983,0.169,0.174,0.2536,0,0.1243,0.0348,0.3878,9,0.0398,0,0.0646,0.4176,0.4326,0.1144,0.0348,0.2387,0,0.1641,0.0447,0.0199,0,0,0,0.0298,0.0994,1.8183,0.9223
"France",267.1,31.8,4.7,1.64,1.59,6.8,2.1,0.7,1.3,0.1,2.7,1.32,14.5,16.6,1.69,4.8,21.84,0.4,1.554,1.5,20.1,3.5,107.8,11.4,19,205.0704,10.7296,0,198,20.8,34.2,0,13.2,5.3,32,16.6,8.5,173.6,0.4,13.8,33,4.4,7.6,10.81,12.7,6.9,23.2,18.6,44,0.1,13.1,6.1,2.5,22.6,5.5,0.5,0.8,11.5,30.9,2.1,5.1,2.7,14.2,14.2,22.6,1,0.2,43.7,25.2,0.5,0.2,1.1,25.8,27.1,50.8,46.4,5,3.9,4.2,0.5,131.7,3.4,1.5,30.8,2.1,37.4,42.2,0.6,155.2,0.6,24.1,0,1.8,0,1.6,23.2,12.3,12.3,1.5,2.1,0,7.1,9.5,1.3,12.3,0,0,4.8,7,104.02,53.8
"Switzerland",73,7.7,1.2,0.82,0.54,15.4,0.5,0.3,0.3,0.1,1.4,1.11,9.7,22.8,3,3.9,8.51,0.7,0.698,1.3,11.1,0.1,14.3,2.7,7.6,40.8621,2.138,198,0,0.3,13.4,0,0.3,1.9,2.6,1.62,3.8,132.6,0,10,6.3,0.8,1,9.1,2,11.5,4,15.1,23.3,0.2,0.3,1.1,0,0,0,1,1.8,0,0.7,0.2,2.9,0.3,0.8,12.3,0.3,0,0.1,0.7,0.4,0.4,0,0.8,5.9,0.5,0.5,0.6,0.6,0.3,5.8,1.7,4.7,7.5,2.6,5.5,1,12.5,6.5,0,4.6,0.4,3.6,0,0.5,0,2,12.7,6.2,8.6,1.5,2,0,11.3,0.3,0.1,0.9,0,0,3.2,2,28.48,7.09
